,epoch,loss,accuracy,macro_f,precision,recall,val_loss,val_accuracy,val_macro_f,val_precision,val_recall,test_loss,test_accuracy,test_macro_f,test_precision,test_recall,split,seed,dropout_rate,embedding_type,max_length,arch_type,run_id
39,3,0.080237,0.97406,0.974052,0.980873,0.97406,0.222867,0.936,0.934903,0.952715,0.936,0.200091,0.9419,0.940492,0.955936,0.9419,valid,42,0.2,bert-base-chinese,256,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
40,2,0.118488,0.9624,0.962225,0.971872,0.9624,0.177193,0.9484,0.947098,0.961199,0.9484,0.176769,0.9447,0.943712,0.958165,0.9447,valid,42,0.2,bert-base-chinese,256,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
41,1,0.299699,0.90724,0.904653,0.92157,0.90724,0.193577,0.9404,0.939593,0.957086,0.9404,0.178804,0.943,0.941714,0.957067,0.943,valid,42,0.2,bert-base-chinese,256,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
42,3,0.093519,0.9697,0.969623,0.977366,0.9697,0.224384,0.9388,0.936767,0.953074,0.9388,0.204062,0.9393,0.937649,0.95322,0.9393,valid,4,0.2,bert-base-chinese,100,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
43,2,0.136332,0.95712,0.957276,0.968335,0.95712,0.233832,0.934,0.93223,0.950062,0.934,0.221554,0.9309,0.928571,0.947857,0.9309,valid,4,0.2,bert-base-chinese,100,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
44,1,0.324883,0.90036,0.89806,0.917158,0.90036,0.259913,0.9244,0.920302,0.940462,0.9244,0.255701,0.9219,0.916589,0.938163,0.9219,valid,4,0.2,bert-base-chinese,100,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
45,3,0.094799,0.96886,0.968688,0.976491,0.96886,0.259568,0.9276,0.92485,0.944556,0.9276,0.239366,0.932,0.929577,0.948274,0.932,valid,25,0.2,bert-base-chinese,100,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
46,2,0.136435,0.9573,0.957236,0.968094,0.9573,0.188004,0.9462,0.944922,0.959644,0.9462,0.194848,0.9394,0.939022,0.954758,0.9394,valid,25,0.2,bert-base-chinese,100,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
47,1,0.330793,0.8995,0.897499,0.916965,0.8995,0.284826,0.9106,0.905198,0.928266,0.9106,0.276675,0.9142,0.909375,0.934242,0.9142,valid,25,0.2,bert-base-chinese,100,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
48,3,0.094791,0.96988,0.969768,0.977608,0.96988,0.275227,0.9216,0.91816,0.938917,0.9216,0.240983,0.9253,0.923643,0.94358,0.9253,valid,2021,0.2,bert-base-chinese,100,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
