,arch_type,seed,base,variant_name,val_loss,val_accuracy,val_macro_f,val_precision,val_recall,val_doc_entropy,test_loss,test_accuracy,test_macro_f,test_precision,test_recall,test_doc_entropy,dropout_rate,embedding_type,max_length,head_num,calculate_entropy,with_gru,run_id
20,BiAttentionClassifyModel,2020,0,base,0.168077,0.9474,0.946482,0.961175,0.9474,4.265185,0.159783,0.9478,0.946643,0.960299,0.9478,4.276052,0.2,roberta-wwm,256,40.0,1.0,,cnews/keep_all/BiAttentionClassifyModel
21,BiAttentionClassifyModel,4,0,base,0.188536,0.9434,0.942132,0.955787,0.9434,4.119438,0.159487,0.9506,0.949628,0.961827,0.9506,4.135802,0.2,roberta-wwm,256,40.0,1.0,,cnews/keep_all/BiAttentionClassifyModel
22,BiAttentionClassifyModel,25,0,base,0.185715,0.9416,0.940931,0.957436,0.9416,4.257296,0.156777,0.9502,0.94976,0.963141,0.9502,4.244592,0.2,roberta-wwm,256,40.0,1.0,,cnews/keep_all/BiAttentionClassifyModel
23,BiAttentionClassifyModel,2021,0,base,0.156091,0.9516,0.95175,0.964654,0.9516,3.963718,0.146667,0.9538,0.953423,0.965711,0.9538,3.978218,0.2,roberta-wwm,256,40.0,1.0,,cnews/keep_all/BiAttentionClassifyModel
24,BiAttentionClassifyModel,42,0,base,0.170138,0.9502,0.949083,0.96325,0.9502,3.689318,0.156513,0.9529,0.952574,0.965434,0.9529,3.673201,0.2,bert-base-chinese,256,40.0,1.0,gru,cnews/keep_all/BiAttentionClassifyModel
25,PretrainedBaseline,4,0,,0.18002,0.949,0.947887,0.961096,0.949,,0.191597,0.9423,0.941324,0.95604,0.9423,,0.2,bert-base-chinese,256,,,,cnews/keep_all/PretrainedBaseline
26,PretrainedBaseline,25,0,,0.158862,0.9512,0.950822,0.96335,0.9512,,0.164615,0.9457,0.945013,0.958436,0.9457,,0.2,bert-base-chinese,256,,,,cnews/keep_all/PretrainedBaseline
27,PretrainedBaseline,2021,0,,0.193935,0.9384,0.93703,0.95394,0.9384,,0.186473,0.9386,0.936884,0.952461,0.9386,,0.2,bert-base-chinese,256,,,,cnews/keep_all/PretrainedBaseline
28,PretrainedBaseline,2020,0,,0.173477,0.9496,0.947733,0.96077,0.9496,,0.170123,0.9452,0.945121,0.959371,0.9452,,0.2,bert-base-chinese,256,,,,cnews/keep_all/PretrainedBaseline
29,PretrainedBaseline,42,0,,0.177193,0.9484,0.947035,0.961192,0.9484,,0.176769,0.9447,0.943783,0.958646,0.9447,,0.2,bert-base-chinese,256,,,,cnews/keep_all/PretrainedBaseline
30,PretrainedBaseline,4,0,,0.224384,0.9388,0.937421,0.952812,0.9388,,0.204062,0.9393,0.937782,0.952437,0.9393,,0.2,bert-base-chinese,100,,,,cnews/keep_all/PretrainedBaseline
31,PretrainedBaseline,25,0,,0.188004,0.9462,0.945705,0.958406,0.9462,,0.194848,0.9394,0.938756,0.954637,0.9394,,0.2,bert-base-chinese,100,,,,cnews/keep_all/PretrainedBaseline
32,PretrainedBaseline,2021,0,,0.206781,0.9364,0.934337,0.951,0.9364,,0.214518,0.9306,0.929149,0.946519,0.9306,,0.2,bert-base-chinese,100,,,,cnews/keep_all/PretrainedBaseline
33,PretrainedBaseline,2020,0,,0.237691,0.9346,0.931637,0.949578,0.9346,,0.237145,0.9286,0.926372,0.945675,0.9286,,0.2,bert-base-chinese,100,,,,cnews/keep_all/PretrainedBaseline
34,PretrainedBaseline,42,0,,0.231182,0.9358,0.934036,0.951145,0.9358,,0.219428,0.9357,0.934335,0.951182,0.9357,,0.2,bert-base-chinese,100,,,,cnews/keep_all/PretrainedBaseline
35,BiAttentionClassifyModel,4,0,base,0.150208,0.9572,0.95571,0.966882,0.9572,3.171173,0.148194,0.9539,0.953519,0.964936,0.9539,3.183186,0.2,bert-base-chinese,256,40.0,1.0,,cnews/keep_all/BiAttentionClassifyModel
36,BiAttentionClassifyModel,25,0,base,0.172311,0.9518,0.950398,0.96259,0.9518,3.444791,0.15155,0.9565,0.955664,0.966862,0.9565,3.442457,0.2,bert-base-chinese,256,40.0,1.0,,cnews/keep_all/BiAttentionClassifyModel
37,BiAttentionClassifyModel,2021,0,base,0.163857,0.951,0.950653,0.964192,0.951,3.429244,0.14941,0.9539,0.953527,0.965206,0.9539,3.436143,0.2,bert-base-chinese,256,40.0,1.0,,cnews/keep_all/BiAttentionClassifyModel
