,arch_type,seed,base,variant_name,val_loss,val_accuracy,val_macro_f,val_precision,val_recall,val_doc_entropy,test_loss,test_accuracy,test_macro_f,test_precision,test_recall,test_doc_entropy,dropout_rate,embedding_type,max_length,head_num,calculate_entropy,with_gru,run_id
86,BiAttentionClassifyModel,2021,0,base,0.991618,0.712934,0.704721,0.741693,0.712934,2.74157,0.982349,0.714677,0.707236,0.74347,0.714677,2.742705,0.2,glove,100,20.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
87,BiAttentionClassifyModel,40,0,base,0.974558,0.723937,0.715141,0.751245,0.723937,2.229942,0.978204,0.725381,0.717425,0.752731,0.725381,2.221953,0.2,roberta-base,100,40.0,1.0,,News26/keep_all/BiAttentionClassifyModel
88,BiAttentionClassifyModel,2020,0,base,0.95798,0.72568,0.719407,0.756517,0.72568,2.292039,0.968493,0.7209,0.713479,0.751384,0.7209,2.289631,0.2,roberta-base,100,40.0,1.0,,News26/keep_all/BiAttentionClassifyModel
89,BiAttentionClassifyModel,4,0,base,0.965959,0.721448,0.719591,0.761176,0.721448,2.26395,0.972842,0.722195,0.72025,0.763272,0.722195,2.260014,0.2,roberta-base,100,40.0,1.0,,News26/keep_all/BiAttentionClassifyModel
90,BiAttentionClassifyModel,25,0,base,0.976387,0.724435,0.718929,0.758721,0.724435,2.280904,0.983731,0.720502,0.716629,0.757783,0.720502,2.276904,0.2,roberta-base,100,40.0,1.0,,News26/keep_all/BiAttentionClassifyModel
91,BiAttentionClassifyModel,2021,0,base,0.965929,0.722593,0.718362,0.758968,0.722593,2.257801,0.976839,0.723041,0.719331,0.7603,0.723041,2.254761,0.2,roberta-base,100,40.0,1.0,,News26/keep_all/BiAttentionClassifyModel
92,TextCNNClassifyModel,4,0,,1.214264,0.662302,0.64919,0.686722,0.662302,,1.206844,0.657871,0.64465,0.68047,0.657871,,0.2,glove,100,,,,News26/keep_all/TextCNNClassifyModel
93,TextCNNClassifyModel,25,0,,1.219957,0.659016,0.643914,0.678822,0.659016,,1.215261,0.661555,0.645692,0.680321,0.661555,,0.2,glove,100,,,,News26/keep_all/TextCNNClassifyModel
94,TextCNNClassifyModel,2021,0,,1.219711,0.662601,0.647305,0.682074,0.662601,,1.223432,0.658867,0.642532,0.674044,0.658867,,0.2,glove,100,,,,News26/keep_all/TextCNNClassifyModel
95,TextCNNClassifyModel,2020,0,,1.226377,0.657622,0.643012,0.676799,0.657622,,1.2216,0.658469,0.643701,0.678158,0.658469,,0.2,glove,100,,,,News26/keep_all/TextCNNClassifyModel
96,TextCNNClassifyModel,42,0,,1.229432,0.656129,0.643926,0.681677,0.656129,,1.226734,0.661605,0.650317,0.690295,0.661605,,0.2,glove,100,,,,News26/keep_all/TextCNNClassifyModel
97,FastformerClassifyModel,4,0,,1.137493,0.687095,0.678843,0.71726,0.687095,,1.142972,0.682714,0.675002,0.716234,0.682714,,0.2,glove,100,,,,News26/keep_all/FastformerClassifyModel
