,arch_type,seed,base,variant_name,val_loss,val_accuracy,val_macro_f,val_precision,val_recall,val_doc_entropy,test_loss,test_accuracy,test_macro_f,test_precision,test_recall,test_doc_entropy,dropout_rate,embedding_type,max_length,head_num,calculate_entropy,with_gru,run_id,head_dim
231,BiAttentionClassifyModel,4.0,0.0,base,0.63421,0.791302,0.781551,0.801838,0.791302,3.329586,0.619476,0.795981,0.786623,0.807091,0.795981,3.337011,0.2,glove,256.0,60.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
232,BiAttentionClassifyModel,25.0,0.0,base,0.610812,0.795674,0.793219,0.819331,0.795674,3.316611,0.606963,0.797745,0.794331,0.81794,0.797745,3.321534,0.2,glove,256.0,60.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
233,BiAttentionClassifyModel,2021.0,0.0,base,0.598345,0.797362,0.792735,0.816865,0.797362,3.19049,0.593399,0.803114,0.799671,0.823883,0.803114,3.198486,0.2,glove,256.0,60.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
234,BiAttentionClassifyModel,2020.0,0.0,base,0.603824,0.797822,0.792237,0.816943,0.797822,3.201688,0.597669,0.80273,0.796653,0.818177,0.80273,3.208711,0.2,glove,256.0,60.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
235,BiAttentionClassifyModel,42.0,0.0,base,0.601785,0.794754,0.784214,0.803992,0.794754,3.877709,0.594118,0.803651,0.794184,0.81499,0.803651,3.885386,0.2,glove,256.0,60.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
236,BiAttentionClassifyModel,4.0,0.0,base,0.601205,0.795291,0.78507,0.806166,0.795291,3.511765,0.601724,0.797975,0.78903,0.810748,0.797975,3.518238,0.2,glove,256.0,40.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
237,BiAttentionClassifyModel,25.0,0.0,base,0.608915,0.7946,0.782783,0.804562,0.7946,3.91558,0.597553,0.802194,0.790907,0.810201,0.802194,3.923745,0.2,glove,256.0,40.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
238,BiAttentionClassifyModel,2021.0,0.0,base,0.606472,0.794907,0.790782,0.817282,0.794907,3.521021,0.595127,0.798359,0.794259,0.819002,0.798359,3.530238,0.2,glove,256.0,40.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
239,BiAttentionClassifyModel,2020.0,0.0,base,0.610482,0.795214,0.790551,0.814984,0.795214,3.784573,0.614555,0.800123,0.795991,0.821572,0.800123,3.792979,0.2,glove,256.0,40.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
240,BiAttentionClassifyModel,42.0,0.0,base,0.621558,0.795214,0.791667,0.816202,0.795214,3.986234,0.601625,0.805875,0.804151,0.828203,0.805875,3.994488,0.2,glove,256.0,40.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
