,epoch,loss,accuracy,macro_f,precision,recall,doc_entropy,val_loss,val_accuracy,val_macro_f,val_precision,val_recall,val_doc_entropy,test_loss,test_accuracy,test_macro_f,test_precision,test_recall,test_doc_entropy,split,seed,dropout_rate,embedding_type,max_length,head_num,arch_type,calculate_entropy,with_gru,run_id,entropy_constraint,head_dim,variant_name
26,2,0.478038,0.831945,0.826965,0.848657,0.831945,4.315617,0.552877,0.80902,0.809654,0.838354,0.80902,4.676166,0.54279,0.813392,0.812951,0.83825,0.813392,4.686748,valid,42,0.2,xlnet-base-cased,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
27,1,0.688174,0.76529,0.751038,0.769956,0.76529,4.242152,0.584653,0.794754,0.791401,0.819081,0.794754,4.669528,0.577039,0.802117,0.80206,0.831559,0.802117,4.680724,valid,42,0.2,xlnet-base-cased,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
28,2,0.475826,0.83276,0.827929,0.849558,0.83276,4.295091,0.550691,0.807332,0.800673,0.822799,0.807332,4.641436,0.539545,0.814312,0.807548,0.828069,0.814312,4.652649,valid,2021,0.2,xlnet-base-cased,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
29,1,0.688027,0.765108,0.752231,0.772986,0.765108,4.213584,0.572347,0.795674,0.793255,0.819696,0.795674,4.670885,0.567667,0.804341,0.804289,0.831714,0.804341,4.681955,valid,2021,0.2,xlnet-base-cased,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
30,2,0.461398,0.837343,0.832632,0.854085,0.837343,4.359797,0.57961,0.800583,0.798138,0.824604,0.800583,4.699564,0.568823,0.806489,0.8039,0.830193,0.806489,4.710095,valid,40,0.2,bert-base-uncased,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
31,1,0.683382,0.767524,0.754726,0.774857,0.767524,4.411676,0.579697,0.797745,0.79393,0.819567,0.797745,4.740803,0.575134,0.799432,0.795266,0.819416,0.799432,4.75156,valid,40,0.2,bert-base-uncased,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
32,2,0.459575,0.837927,0.833525,0.855744,0.837927,4.307639,0.561056,0.803881,0.79961,0.824067,0.803881,4.679061,0.561153,0.807256,0.805038,0.830938,0.807256,4.690112,valid,5,0.2,bert-base-uncased,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
33,1,0.68473,0.766594,0.75415,0.775512,0.766594,4.354166,0.584203,0.790996,0.789536,0.817514,0.790996,4.680544,0.572978,0.800276,0.797451,0.822559,0.800276,4.691425,valid,5,0.2,bert-base-uncased,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
34,2,0.460836,0.837889,0.833797,0.856539,0.837889,4.376792,0.583179,0.797898,0.784886,0.806149,0.797898,4.677453,0.570778,0.80181,0.790053,0.81002,0.80181,4.686984,valid,2020,0.2,bert-base-uncased,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
35,1,0.682577,0.766124,0.754145,0.775944,0.766124,4.388565,0.582448,0.795674,0.789733,0.814931,0.795674,4.698227,0.579759,0.800353,0.794098,0.818527,0.800353,4.70888,valid,2020,0.2,bert-base-uncased,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
36,2,0.460416,0.838541,0.834807,0.857401,0.838541,4.35122,0.579582,0.802577,0.79085,0.809451,0.802577,4.700424,0.565217,0.807869,0.797716,0.817838,0.807869,4.710189,valid,42,0.2,bert-base-uncased,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
37,1,0.68348,0.766795,0.754904,0.776752,0.766795,4.40067,0.606387,0.78463,0.778238,0.802946,0.78463,4.725675,0.599123,0.790689,0.783998,0.805758,0.790689,4.736356,valid,42,0.2,bert-base-uncased,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
38,2,0.461286,0.837467,0.83327,0.854826,0.837467,4.45717,0.570889,0.803191,0.795785,0.818962,0.803191,4.748947,0.570062,0.809096,0.802918,0.824991,0.809096,4.758991,valid,2021,0.2,bert-base-uncased,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
39,1,0.6846,0.765559,0.753036,0.773874,0.765559,4.47115,0.575909,0.796134,0.790938,0.816375,0.796134,4.740636,0.574165,0.797208,0.794135,0.81923,0.797208,4.75234,valid,2021,0.2,bert-base-uncased,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
40,2,0.447386,0.84323,0.838927,0.860237,0.84323,4.227832,0.560679,0.807256,0.802434,0.826077,0.807256,4.60758,0.556509,0.810861,0.808419,0.832441,0.810861,4.618422,valid,5,0.2,distilbert-base-uncased,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
41,1,0.67978,0.767888,0.756178,0.777713,0.767888,4.29271,0.582253,0.792376,0.791325,0.819713,0.792376,4.615108,0.57031,0.802807,0.799625,0.82256,0.802807,4.626589,valid,5,0.2,distilbert-base-uncased,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
42,2,0.451545,0.840881,0.836575,0.858042,0.840881,4.317956,0.577944,0.801733,0.80096,0.830234,0.801733,4.655841,0.568307,0.8025,0.801472,0.828898,0.8025,4.667888,valid,40,0.2,distilbert-base-uncased,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
43,1,0.679408,0.768425,0.756055,0.776205,0.768425,4.396632,0.575647,0.799356,0.794023,0.81929,0.799356,4.69983,0.572681,0.800583,0.794385,0.816388,0.800583,4.711446,valid,40,0.2,distilbert-base-uncased,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
44,2,0.455807,0.840037,0.836305,0.858947,0.840037,4.303298,0.579668,0.799356,0.785319,0.804227,0.799356,4.628298,0.57078,0.806642,0.794117,0.812929,0.806642,4.638117,valid,2020,0.2,distilbert-base-uncased,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
45,1,0.678688,0.767764,0.756063,0.777928,0.767764,4.303099,0.576062,0.797208,0.790441,0.814564,0.797208,4.656958,0.572535,0.799739,0.793213,0.81748,0.799739,4.666835,valid,2020,0.2,distilbert-base-uncased,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
46,2,0.452663,0.840372,0.836486,0.858543,0.840372,4.312321,0.574829,0.804034,0.790573,0.808954,0.804034,4.665229,0.560574,0.811244,0.800476,0.819845,0.811244,4.673985,valid,42,0.2,distilbert-base-uncased,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
47,1,0.67883,0.768349,0.75685,0.778669,0.768349,4.38021,0.590895,0.791302,0.784754,0.809355,0.791302,4.677793,0.58634,0.79437,0.787119,0.808382,0.79437,4.688459,valid,42,0.2,distilbert-base-uncased,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
48,2,0.452043,0.840813,0.836728,0.858297,0.840813,4.440316,0.564535,0.807946,0.802119,0.825295,0.807946,4.695751,0.563092,0.810784,0.804569,0.824778,0.810784,4.706432,valid,2021,0.2,distilbert-base-uncased,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
49,1,0.67997,0.766441,0.754168,0.775564,0.766441,4.492213,0.570005,0.800046,0.794491,0.818058,0.800046,4.733192,0.565946,0.800966,0.797097,0.821086,0.800966,4.744567,valid,2021,0.2,distilbert-base-uncased,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
50,2,0.49491,0.826048,0.820946,0.843838,0.826048,4.540675,0.537833,0.811858,0.804504,0.826387,0.811858,4.772927,0.532896,0.815462,0.809893,0.832729,0.815462,4.786898,valid,5,0.2,roberta-base,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
51,1,0.686995,0.765607,0.753406,0.774965,0.765607,4.552322,0.583623,0.790152,0.787882,0.814345,0.790152,4.81434,0.569051,0.802654,0.799506,0.822527,0.802654,4.826617,valid,5,0.2,roberta-base,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
52,2,0.497485,0.824984,0.820082,0.842703,0.824984,4.504091,0.547584,0.808023,0.806901,0.833806,0.808023,4.78549,0.539719,0.80971,0.81074,0.840548,0.80971,4.79827,valid,40,0.2,roberta-base,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
53,1,0.687786,0.764245,0.751277,0.771897,0.764245,4.538435,0.58628,0.792606,0.791989,0.822769,0.792606,4.841965,0.585587,0.793987,0.793142,0.82149,0.793987,4.854121,valid,40,0.2,roberta-base,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
54,2,0.49435,0.826882,0.822306,0.845556,0.826882,4.478309,0.542238,0.804418,0.791504,0.809446,0.804418,4.716555,0.536343,0.810094,0.798488,0.816595,0.810094,4.729794,valid,2020,0.2,roberta-base,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
55,1,0.687585,0.764897,0.752501,0.7738,0.764897,4.544529,0.580389,0.796748,0.791965,0.818447,0.796748,4.765508,0.578778,0.797208,0.792759,0.817674,0.797208,4.77812,valid,2020,0.2,roberta-base,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
56,2,0.498213,0.824313,0.819871,0.84326,0.824313,4.472695,0.548294,0.806565,0.796235,0.81684,0.806565,4.770827,0.535035,0.812931,0.803719,0.82334,0.812931,4.784015,valid,42,0.2,roberta-base,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
57,1,0.688299,0.764082,0.751697,0.773517,0.764082,4.53672,0.610714,0.784553,0.77585,0.799212,0.784553,4.748295,0.602631,0.788848,0.77975,0.800819,0.788848,4.760936,valid,42,0.2,roberta-base,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
58,2,0.500282,0.824715,0.819798,0.842571,0.824715,4.564714,0.548746,0.806719,0.801281,0.824549,0.806719,4.802963,0.544781,0.812241,0.807722,0.831349,0.812241,4.815298,valid,2021,0.2,roberta-base,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
