,epoch,loss,accuracy,macro_f,precision,recall,doc_entropy,val_loss,val_accuracy,val_macro_f,val_precision,val_recall,val_doc_entropy,test_loss,test_accuracy,test_macro_f,test_precision,test_recall,test_doc_entropy,split,seed,dropout_rate,embedding_type,max_length,head_num,arch_type,calculate_entropy,with_gru,run_id
50,3,0.458145,0.860755,0.86008,0.894457,0.860755,2.443768,0.541046,0.838182,0.837711,0.877714,0.838182,2.526288,0.518962,0.845545,0.845582,0.884689,0.845545,2.530535,valid,4,0.2,bert-base-chinese,100,60,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
51,2,0.519986,0.842645,0.841805,0.879535,0.842645,2.207628,0.548405,0.830909,0.832064,0.873996,0.830909,2.133421,0.523889,0.843455,0.843883,0.8823,0.843455,2.142154,valid,4,0.2,bert-base-chinese,100,60,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
52,1,0.637595,0.810755,0.809027,0.854687,0.810755,2.495014,0.577155,0.827727,0.827807,0.868202,0.827727,2.321676,0.556942,0.836909,0.835999,0.874428,0.836909,2.331462,valid,4,0.2,bert-base-chinese,100,60,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
53,3,0.489663,0.851445,0.85056,0.886631,0.851445,1.957985,0.538198,0.838182,0.838764,0.877349,0.838182,2.004429,0.512213,0.841545,0.841535,0.87832,0.841545,2.003922,valid,25,0.2,bert-base-chinese,100,60,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
54,2,0.54151,0.836009,0.835047,0.875673,0.836009,2.230725,0.556788,0.832818,0.831603,0.871728,0.832818,2.393266,0.536646,0.838636,0.836424,0.875506,0.838636,2.402299,valid,25,0.2,bert-base-chinese,100,60,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
55,1,0.643825,0.809191,0.8078,0.85353,0.809191,2.623534,0.592198,0.824727,0.824265,0.86508,0.824727,2.392818,0.5601,0.830909,0.831656,0.871931,0.830909,2.399146,valid,25,0.2,bert-base-chinese,100,60,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
56,3,0.433061,0.866745,0.866022,0.899009,0.866745,2.859469,0.502768,0.844636,0.844853,0.883802,0.844636,2.876216,0.491571,0.849364,0.848377,0.884484,0.849364,2.885196,valid,2021,0.2,bert-base-chinese,100,60,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
57,2,0.472759,0.855873,0.855095,0.890294,0.855873,2.871899,0.520558,0.841,0.840456,0.87654,0.841,2.909107,0.496011,0.850091,0.851386,0.888932,0.850091,2.917275,valid,2021,0.2,bert-base-chinese,100,60,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
58,1,0.591239,0.824191,0.822924,0.86552,0.824191,3.135359,0.540557,0.840455,0.838921,0.876032,0.840455,3.150436,0.51164,0.847182,0.84561,0.881128,0.847182,3.156794,valid,2021,0.2,bert-base-chinese,100,60,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
59,3,0.436342,0.866473,0.86565,0.898224,0.866473,2.90889,0.4944,0.852636,0.85212,0.887413,0.852636,2.66656,0.476379,0.856455,0.855035,0.887935,0.856455,2.672472,valid,2020,0.2,bert-base-chinese,100,60,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
60,2,0.473037,0.856873,0.855987,0.890788,0.856873,2.914911,0.515212,0.845273,0.844467,0.880214,0.845273,2.862206,0.497058,0.854273,0.853617,0.885999,0.854273,2.865766,valid,2020,0.2,bert-base-chinese,100,60,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
61,1,0.614162,0.816773,0.815472,0.859085,0.816773,2.781018,0.559919,0.830091,0.828238,0.868356,0.830091,2.744837,0.538875,0.836091,0.833853,0.872937,0.836091,2.751721,valid,2020,0.2,bert-base-chinese,100,60,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
62,3,0.435945,0.866382,0.865824,0.898889,0.866382,2.797965,0.500881,0.850818,0.851663,0.888617,0.850818,2.8451,0.485917,0.853,0.853005,0.888752,0.853,2.850581,valid,42,0.2,bert-base-chinese,100,60,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
63,2,0.478191,0.855764,0.855194,0.890617,0.855764,2.662857,0.506689,0.846909,0.847996,0.885488,0.846909,3.023744,0.480331,0.854545,0.855042,0.890483,0.854545,3.032328,valid,42,0.2,bert-base-chinese,100,60,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
64,1,0.611827,0.8176,0.816103,0.860149,0.8176,2.639724,0.52422,0.841091,0.84104,0.877395,0.841091,2.559626,0.507554,0.841818,0.841973,0.880517,0.841818,2.565244,valid,42,0.2,bert-base-chinese,100,60,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
65,3,0.435945,0.866382,0.865824,0.898889,0.866382,2.797965,0.500881,0.850818,0.851663,0.888617,0.850818,2.8451,0.485917,0.853,0.853005,0.888752,0.853,2.850581,valid,42,0.2,bert-base-chinese,100,60,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
66,2,0.478191,0.855764,0.855194,0.890617,0.855764,2.662857,0.506689,0.846909,0.847996,0.885488,0.846909,3.023744,0.480331,0.854545,0.855042,0.890483,0.854545,3.032328,valid,42,0.2,bert-base-chinese,100,60,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
67,1,0.611827,0.8176,0.816103,0.860149,0.8176,2.639724,0.52422,0.841091,0.84104,0.877395,0.841091,2.559626,0.507554,0.841818,0.841973,0.880517,0.841818,2.565244,valid,42,0.2,bert-base-chinese,100,60,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
